a	ˈ aː
árnar	ˈ au r t n a r
árnason	ˈ au r t n a s ˌ ɔ n
árnasonar	ˈ au r t n a s ˌ ɔ n a r
árnastofnun	ˈ au r t n a s t ˌ ɔ p n ʏ n
árnasyni	ˈ au r t n a s ˌ ɪ n ɪ
árneshreppi	ˈ auː r n ɛ s r̥ ˌ ɛ h p ɪ
árnesinga	ˈ auː r n ɛ s i ŋ k a
árnessýslu	ˈ auː r n ɛ s s ˌ i s t l ʏ
árni	ˈ au r t n ɪ
árný	ˈ au r n i
árrof	ˈauː r r ɔ v
árs	ˈ au r̥ s
ársalur	ˈauː r s a l ʏ r
ársbyrjun	ˈ au r̥ s p ɪ r j ʏ n
ársfjórðung	ˈ au r̥ s f j ou r ð u ŋ k
ársfjórðungi	ˈ au r̥ s f j ou r ð u ɲ c ɪ
ársfjórðungs	ˈ au r̥ s f j ou r ð u ŋ s
ársfjórðungur	ˈ au r̥ s f j ou r ð u ŋ k ʏ r
ársfundar	ˈ au r̥ s f ʏ n t a r
ársfundi	ˈ au r̥ s f ʏ n t ɪ
ársgrundvelli	ˈ au r̥ s k r ʏ n t v ɛ t l ɪ
árshátíð	ˈ au r̥ s h au tʰ ˌ i ð
ársins	ˈ au r̥ s ɪ n s
árskaup	ˈauː r s k œy p
árskógsströnd	ˈ au r̥ s k ou x s t r œ n t
árskógur	ˈauː r s k ou ɣ ʏ r
árskú	ˈ au r̥ s kʰ u
árslaun	ˈ au r̥ s l œy n
árslok	ˈ au r̥ s l ɔ k
ársloka	ˈ au r̥ s l ɔ k a
ársreikning	ˈ au r̥ s r ei h k n i ŋ k
ársreikninga	ˈ au r̥ s r ei h k n i ŋ k a
ársreikningar	ˈ au r̥ s r ei h k n i ŋ k a r
ársreikningi	ˈ au r̥ s r ei h k n i ɲ c ɪ
ársreikningsins	ˈ au r̥ s r ei h k n i ŋ s ɪ n s
ársreikningum	ˈ au r̥ s r ei h k n i ŋ k ʏ m
ársreikningur	ˈ au r̥ s r ei h k n i ŋ k ʏ r
ársskýrslu	ˈ au r̥ s s c i r̥ s t l ʏ
ársskýrslur	ˈ au r̥ s s c i r̥ s t l ʏ r
árstekjur	ˈ au r̥ s tʰ ɛ c ʏ r
árstíma	ˈ au r̥ s tʰ i m a
árstímum	ˈ au r̥ s tʰ i m ʏ m
árstíð	ˈ au r̥ s tʰ i ð
árstíðabundnir	ˈau r̥ s tʰ i ð a p ˌʏ n t n ɪ r
árstíðir	ˈ au r̥ s tʰ i ð ɪ r
árstíðum	ˈ au r̥ s tʰ i ð ʏ m
ársverk	ˈ au r̥ s v ɛ r̥ k
ársvöxtum	ˈ au r̥ s v œ k s t ʏ m
ársæli	ˈ auː r s ai l ɪ
ársæll	ˈ auː r s ai t l̥
ársælsson	ˈ auː r s ai l s s ˌ ɔ n
ársþingi	ˈ au r̥ s θ i ɲ c ɪ
ártal	ˈ auː r tʰ a l
ártúni	ˈ auː r tʰ u n ɪ
ártúnsskóla	ˈ auː r tʰ u n s s k ˌ ou l a
árum	ˈ auː r ʏ m
árunum	ˈ auː r ɔ n ʏ m
árvakurs	ˈ auː r v a k ʏ r̥ s
árvekni	ˈ auː r v ɛ h k n ɪ
árás	ˈ auː r au s
árása	ˈ auː r au s a
árásanna	ˈ auː r au s a n a
árásar	ˈ auː r au s a r
árásarinnar	ˈ auː r au s a r ɪ n a r
árásarmanninn	ˈ auː r au s a r m a n ɪ n
árásarmaðurinn	ˈ auː r au s a r m a ð ʏ r ɪ n
árásarmennirnir	ˈ auː r au s a r m ɛ n ɪ r t n ɪ r
árásin	ˈ auː r au s ˌ ɪ n
árásina	ˈ auː r au s ˌ ɪ n a
árásinni	ˈ auː r au s ˌ ɪ n ɪ
árásir	ˈ auː r au s ɪ r
árásirnar	ˈ auː r au s ɪ r t n a r
árásum	ˈ auː r au s ʏ m
árásunum	ˈ auː r au s ɔ n ʏ m
árátta	ˈ auː r au h t a
áráttu	ˈ auː r au h t ʏ
áræddi	ˈauː r ai t ɪ
áræði	ˈ auː r ai ð ɪ
áræðinn	ˈ auː r ai ð ɪ n
árétta	ˈ auː r j ɛ h t a
áréttar	ˈ auː r j ɛ h t a r
áréttað	ˈ auː r j ɛ h t a ð
áréttaði	ˈ auː r j ɛ h t a ð ɪ
áréttuð	ˈ auː r j ɛ h t ʏ ð
áríðandi	ˈ auː r i ð a n t ɪ
árósum	ˈ auː r ou s ʏ m
áróðri	ˈ auː r ou ð r ɪ
áróður	ˈ auː r ou ð ʏ r
ása	ˈ auː s a
ásaka	ˈ auː s a k a
ásakana	ˈ auː s a k a n a
ásakanir	ˈ auː s a kʰ ˌ a n ɪ r
ásakanirnar	ˈ auː s a k a n ɪ r t n a r
ásamt	ˈ auː s a m̥ t
ásatrúar	ˈ auː s a tʰ r ˌ u a r
ásberg	ˈ auː s p ɛ r k
ásbjarnarson	ˈ auː s p j a r t n a r s ˌ ɔ n
ásbjörn	ˈ auː s p j œ r t n̥
ásbjörns	ˈ auː s p j œ r̥ s
ásbjörnsdóttir	ˈ auː s p j œ r̥ s t ˌ ou h t ɪ r
ásbjörnsson	ˈ auː s p j œ r̥ s s ˌ ɔ n
ásbrú	ˈ auː s p r u
ásbyrgi	ˈ auː s p ɪ r c ɪ
ásdís	ˈ auː s t i s
ásdísar	ˈ auː s t i s a r
ásdísi	ˈ auː s t i s ɪ
ásetning	ˈ auː s ɛ h t n ɪ ŋ k
ásetningi	ˈ auː s ɛ h t n i ɲ c ɪ
ásett	ˈ auː s ɛ h t
ásettu	ˈ auː s ɛ h t ʏ
ásgarði	ˈ auː s k a r ð ɪ
ásgeir	ˈ auː s c ei r
ásgeiri	ˈ auː s c ei r ɪ
ásgeirs	ˈ auː s c ei r̥ s
ásgeirsdóttir	ˈ auː s c ei r̥ s t ˌ ou h t ɪ r
ásgeirsson	ˈ auː s c ei r̥ s s ˌ ɔ n
ásgeirssonar	ˈ auː s c ei r̥ s s ˌ ɔ n a r
ásgeirssyni	ˈ auː s c ei r̥ s s ˌ ɪ n ɪ
ásgerður	ˈ auː s c ɛ r ð ʏ r
ásgrímsdóttir	ˈ auː s k r i m s t ˌ ou h t ɪ r
ásgrímsson	ˈ auː s k r i m s s ˌ ɔ n
ásgrímssonar	ˈ auː s k r i m s s ˌ ɔ n a r
ásgrímur	ˈ auː s k r i m ʏ r
ási	ˈ auː s ɪ
ásigkomulagi	ˈ auː s ɪ ɣ kʰ ɔ m ʏ l ˌ ai j ɪ
ásjáandi	ˈ auː s j au a n t ɪ
ásjár	ˈ auː s j au r
ásjóna	ˈ auː s j ou n a
áskell	ˈ auː s c ɛ t l̥
áskelsson	ˈ auː s c ɛ l s s ˌ ɔ n
áskelssonar	ˈ auː s c ɛ l s s ˌ ɔ n a r
áskilið	ˈ auː s c ɪ l ɪ ð
áskilja	ˈ auː s c ɪ l j a
áskilur	ˈ auː s c ɪ l ʏ r
áskirkju	ˈ auː s cʰ ɪ r̥ c ʏ
áskoranir	ˈ auː s k ɔ r a n ɪ r
áskorun	ˈ auː s k ɔ r ʏ n
áskorunin	ˈ auː s k ɔ r ʏ n ɪ n
áskoruninni	ˈ auː s k ɔ r ʏ n ɪ n ɪ
áskorunum	ˈ auː s k ɔ r ɔ n ʏ m
áskotnast	ˈ auː s k ɔ h t n a s t
áskrifandi	ˈ auː s k r ɪ v a n t ɪ
áskrifendur	ˈ auː s k r ɪ v ɛ n t ʏ r
áskrift	ˈ auː s k r ɪ f t
áskriftargjald	ˈ auː s k r ɪ f t a r c ˌ a l t
áskriftarkortunum	ˈauː s k r ɪ f t a r kʰ ˌɔ r̥ t ɔ n ʏ m
áskriftartölur	ˈauː s k r ɪ f t a r tʰ ˌœ l ʏ r
áskriftarvefurinn	ˈauː s k r ɪ f t a r v ɛ v ʏ r ɪ n
áskynja	ˈ auː s cʰ ɪ n j a
áslandsskóla	ˈ auː s l a n t s s k ˌ ou l a
áslaug	ˈ auː s l œy ɣ
áslaugar	ˈ auː s l œy ɣ a r
áslaugu	ˈ auː s t l œy ɣ ʏ
ásláttarvilla	ˈauː s t l au h t a r v ˌɪ t l a
ásláttarvillan	ˈauː s t l au h t a r v ˌɪ t l a n
ásláttarvillna	ˈauː s t l au h t a r v ˌɪ t l n a
ásláttarvillnanna	ˈauː s t l au h t a r v ɪ t l n a n a
ásláttarvillu	ˈauː s t l au h t a r v ˌɪ l ʏ
ásláttarvillum	ˈauː s t l au h t a r v ˌɪ t l ʏ m
ásláttarvilluna	ˈauː s t l au h t a r v ˌɪ t l ʏ n a
ásláttarvillunnar	ˈauː s t l au h t a r v ˌɪ t l ʏ n a r
ásláttarvillunni	ˈauː s t l au h t a r v ɪ t l̥ ʏ n ɪ
ásláttarvillunum	ˈauː s t l au h t a r v ɪ t l ɔ n ʏ m
ásláttarvillur	ˈauː s t l au h t a r v ˌɪ l ʏ r
ásláttarvillurnar	ˈauː s t l au h t a r v ɪ t l̥ ʏ r t n a r
ásmegin	ˈ auː s m ei j ɪ n
ásmund	ˈ auː s m ʏ n t
ásmundar	ˈ auː s m ʏ n t a r
ásmundi	ˈ auː s m ʏ n t ɪ
ásmundsdóttir	ˈ auː s m ʏ n t s t ou h t ɪ r
ásmundsson	ˈ auː s m ʏ n t s ɔ n
ásmundssonar	ˈ auː s m ʏ n t s ɔ n a r
ásmundur	ˈ auː s m ʏ n t ʏ r
ásrún	ˈ auː s r u n
ásrúnar	ˈ auː s r u n a r
áss	ˈ au s
ást	ˈ au s t
ásta	ˈ au s t a
ástand	ˈ auː s t a n t
ástandi	ˈ auː s t a n t ɪ
ástandinu	ˈ auː s t a n t ɪ n ʏ
ástandið	ˈ auː s t a n t ɪ ð
ástands	ˈ auː s t a n t s
ástandsbreyting	ˈauː s t a n t s p r ˌei t i ŋ k
ástandsins	ˈ auː s t a n t s ɪ n s
ástar	ˈ au s t a r
ástaratlot	ˈ au s t a r a t l ɔ t
ástardrykkurinn	ˈau s t a r t r ɪ h k ʏ r ɪ n
ástarkveðju	ˈau s t a r kʰ v ˌɛ ð j ʏ
ástarorð	ˈau s t a r ˌɔ r ð
ástarsamband	ˈ au s t a r s ˌ a m p a n t
ástarsambandi	ˈ au s t a r s ˌ a m p a n t ɪ
ástarsamböndum	ˈ au s t a r s ˌ a m p œ n t ʏ m
ástarsögu	ˈ au s t a r s ˌ œ ɣ ʏ
ástarævintýri	ˈ au s t a r ˌ ai v ɪ n tʰ i r ɪ
ástatt	ˈ auː s t a h t
ástfangin	ˈ au s t f au ɲ c ɪ n
ástfanginn	ˈ au s t f au ɲ c ɪ n
ástfangnir	ˈ au s t f au ŋ n ɪ r
ástfríður	ˈau s t f r i ð ʏ r
ásthildur	ˈ au s t h ɪ l t ʏ r
ástin	ˈ au s t ɪ n
ástina	ˈ au s t ɪ n a
ástinni	ˈ au s t ɪ n ɪ
ástir	ˈ au s t ɪ r
ástkonur	ˈ au s t kʰ ɔ n ʏ r
ástkæra	ˈ au s t cʰ ai r a
ástleitni	ˈau s t l ei h t n ɪ
ástralinn	ˈ au s t r a l ɪ n
ástralska	ˈ au s t r a l s k a
ástralski	ˈ au s t r a l s c ɪ
ástralía	ˈ au s t r a l i j a
ástralíu	ˈ au s t r a l i j ʏ
ástráður	ˈ au s t r au ð ʏ r
ástríða	ˈ au s t r i ð a
ástríðan	ˈ au s t r i ð a n
ástríðanna	ˈau s t r i ð a n a
ástríðna	ˈau s t r i ð n a
ástríðu	ˈ au s t r i ð ʏ
ástríðufull	ˈ au s t r i ð ʏ f ˌ ʏ t l̥
ástríðufullt	ˈ au s t r i ð ʏ f ˌ ʏ l̥ t
ástríðuleikur	ˈau s t r i ð ʏ l ˌei k ʏ r
ástríðum	ˈ au s t r i ð ʏ m
ástríðuna	ˈ au s t r i ð ʏ n a
ástríðunnar	ˈau s t r i ð ʏ n a r
ástríðunni	ˈ au s t r i ð ʏ n ɪ
ástríðunum	ˈau s t r i ð ɔ n ʏ m
ástríður	ˈ au s t r i ð ʏ r
ástríðurnar	ˈau s t r i ð ʏ r t n a r
ástrós	ˈ au s t r ou s
áströlsku	ˈ au s t r œ l s k ʏ
ástu	ˈ au s t ʏ
ástvaldsson	ˈ au s t v a l t s s ˌ ɔ n
ástvina	ˈ au s t v ɪ n a
ástvini	ˈ au s t v ɪ n ɪ
ástvinir	ˈ au s t v ɪ n ɪ r
ástvinum	ˈ au s t v ɪ n ʏ m
ástvinur	ˈ au s t v ɪ n ʏ r
ástæða	ˈ au s t ai ð a
ástæðan	ˈ auː s t ai ð a n
ástæðna	ˈ auː s t ai ð n a
ástæðu	ˈ au s t ai ð ʏ
ástæðulaus	ˈ au s t ai ð ʏ l œy s
ástæðulaust	ˈ au s t ai ð ʏ l œy s t
ástæðulausu	ˈ au s t ai ð ʏ l œy s ʏ
ástæðum	ˈ au s t ai ð ʏ m
ástæðuna	ˈ auː s t ai ð ʏ n a
ástæðunum	ˈ au s t ai ð ɔ n ʏ m
ástæður	ˈ auː s t ai ð ʏ r
ástæðurnar	ˈ auː s t ai ð ʏ r t n a r
ástúð	ˈ au s t u ð
ástþór	ˈ au s t θ ou r
ásu	ˈ auː s ʏ
ásubergsskipið	ˈauː s ʏ p ɛ r k s c ɪ p ɪ ð
ásum	ˈ auː s ʏ m
ásvallagötu	ˈ auː s v a t l a k ˌ œ t ʏ
ásvellir	ˈ auː s v ɛ t l ɪ r
ásvöllum	ˈ auː s v œ t l ʏ m
ásækja	ˈ auː s ai c a
ásættanleg	ˈ auː s ai h t a n l ɛ ɣ
ásættanlegt	ˈ auː s ai h t a n l ɛ x t
ásókn	ˈ auː s ou h k n̥
ásótti	ˈauː s ou h t ɪ
ásökun	ˈ auː s œ k ʏ n
ásökunum	ˈ auː s œ k ɔ n ʏ m
ásýnd	ˈ auː s i n t
át	ˈ auː t
átak	ˈ auː tʰ a k
átaka	ˈ auː t a k a
átakanleg	ˈ auː tʰ a k a n l ɛ ɣ
átakanna	ˈ auː tʰ a k a n a
átaki	ˈ auː t a c ɪ
átakinu	ˈ auː tʰ a c ɪ n ʏ
átakið	ˈ auː tʰ a c ɪ ð
átaks	ˈ auː tʰ a k s
átaksins	ˈ auː tʰ a k s ɪ n s
átaksverkefna	ˈ auː tʰ a k s v ɛ r̥ k ˌ ɛ p n a
átaksverkefni	ˈ auː tʰ a k s v ɛ r̥ k ˌ ɛ p n ɪ
átekta	ˈ auː tʰ ɛ x t a
átján	ˈ auː t j au n
átjánda	ˈ auː t j au n t a
átjándi	ˈ auː t j au n t ɪ
átjándu	ˈ auː t j au n t ʏ
átt	ˈ au h t
átta	ˈ au h t a
áttar	ˈ au h t a r
áttatíu	ˈ au h t a tʰ ˌ i j ʏ
áttaviti	ˈ au h t a v ˌ ɪ t ɪ
áttað	ˈ auː t tʰ a ð
áttaði	ˈ auː t tʰ a ð ɪ
átti	ˈ au h t ɪ
áttina	ˈ au h t ɪ n a
áttinni	ˈ au h t ɪ n ɪ
áttir	ˈ au h t ɪ r
áttræður	ˈ au h t r ai ð ʏ r
áttu	ˈ au h t ʏ
áttugustu	ˈ au h t ʏ ɣ ʏ s t ʏ
áttum	ˈ au h t ʏ m
áttunda	ˈ au h t ʏ n t a
áttundi	ˈ au h t ʏ n t ɪ
áttundu	ˈ au h t ʏ n t ʏ
áttust	ˈ au h t ʏ s t
áttuð	ˈ au h t ʏ ð
áttuðu	ˈ au h t ʏ ð ʏ
áttuðum	ˈ au h t ʏ ð ʏ m
átvr	ˈauː tʰ j ɛ v a f ɛ r
átök	ˈ auː tʰ œ k
átökin	ˈ auː tʰ œ c ɪ n
átökum	ˈ auː tʰ œ k ʏ m
átökunum	ˈ auː tʰ œ k ɔ n ʏ m
áunnist	ˈ auː ʏ n ɪ s t
áunnið	ˈ auː ʏ n ɪ ð
ávallt	ˈ auː v a l̥ t
ávana	ˈ auː v a n a
ávanabindandi	ˈ auː v a n a p ˌ ɪ n t a n t ɪ
ávarp	ˈ auː v a r̥ p
ávarpa	ˈ auː v a r̥ p a
ávarpar	ˈ auː v a r̥ p a r
ávarpað	ˈ auː v a r̥ p a ð
ávarpaði	ˈ auː v a r̥ p a ð ɪ
ávarpaður	ˈ auː v a r̥ p a ð ʏ r
ávarpi	ˈ auː v a r̥ p ɪ
ávaxta	ˈ auː v a k s t a
ávaxtasafa	ˈ auː v a k s t a s ˌ a v a
áverka	ˈ auː v ɛ r̥ k a
áverkar	ˈ auː v ɛ r̥ k a r
áverkum	ˈ auː v ɛ r̥ k ʏ m
ávexti	ˈ auː v ɛ k s t ɪ
ávextir	ˈ auː v ɛ k s t ɪ r
ávinning	ˈ auː v ɪ n i ŋ k
ávinningi	ˈ auː v ɪ n i ɲ c ɪ
ávinnings	ˈ auː v ɪ n i ŋ s
ávinningur	ˈ auː v ɪ n i ŋ k ʏ r
ávinningurinn	ˈ auː v ɪ n i ŋ k ʏ r ɪ n
ávísað	ˈ auː v i s a ð
ávísun	ˈ auː v i s ʏ n
ávörp	ˈ auː v œ r̥ p
ávöxt	ˈ auː v œ k s t
ávöxtum	ˈ auː v œ k s t ʏ m
ávöxtun	ˈ auː v œ k s t ʏ n
ávöxtunar	ˈ auː v œ k s t ʏ n a r
ávöxtunarkrafa	ˈ auː v œ k s t ʏ n a r kʰ r ˌ a v a
ávöxtunarkröfu	ˈ auː v œ k s t ʏ n a r kʰ r ˌ œ v ʏ
ávöxtur	ˈ auː v œ k s t ʏ r
áætla	ˈ auː ai h t l a
áætlana	ˈ auː ai h t l a n a
áætlanagerð	ˈ auː ai h t l a n a c ˌ ɛ r ð
áætlanir	ˈ auː ai h t l a n ɪ r
áætlar	ˈ auː ai h t l a r
áætlað	ˈ auː ai h t l a ð
áætlaða	ˈ auː ai h t l a ð a
áætlaðan	ˈ auː ai h t l a ð a n
áætlaðar	ˈ auː ai h t l a ð a r
áætlaður	ˈ auː ai h t l a ð ʏ r
áætlun	ˈ auː ai h t l ʏ n
áætlunarbíllinn	ˈauː ai h t l ʏ n a r p ˌi t l ɪ n
áætlunarflug	ˈ auː ai h t l ʏ n a r f l ˌ ʏ ɣ
áætlunarflugi	ˈ auː ai h t l ʏ n a r f l ˌ ʏi j ɪ
áætlunarinnar	ˈ auː ai h t l ʏ n a r ɪ n a r
áætlunin	ˈ auː ai h t l ʏ n ɪ n
áætlunina	ˈ auː ai h t l ʏ n ɪ n a
áætluninni	ˈ auː ai h t l ʏ n ɪ n ɪ
áætlunum	ˈ auː ai h t l ʏ n ʏ m
áætluð	ˈ auː ai h t l ʏ ð
áætluðu	ˈ auː ai h t l ʏ ð ʏ
áætluðum	ˈ auː ai h t l ʏ ð ʏ m
áðan	ˈ auː ð a n
áður	ˈ auː ð ʏ r
áðurfyrr	ˈauː ð ʏ r f ˌɪ r
áðurnefnd	ˈ auː ð ʏ r n ˌ ɛ m t
áðurnefnda	ˈ auː ð ʏ r n ˌ ɛ m t a
áðurnefndra	ˈ auː ð ʏ r n ˌ ɛ m t r a
áðurnefndri	ˈ auː ð ʏ r n ˌ ɛ m t r ɪ
áðurnefndu	ˈ auː ð ʏ r n ˌ ɛ m t ʏ
áðurnefndum	ˈ auː ð ʏ r n ˌ ɛ m t ʏ m
áðurnefndur	ˈ auː ð ʏ r n ˌ ɛ m t ʏ r
áðurnefnt	ˈ auː ð ʏ r n ˌ ɛ m̥ t
áþekk	ˈ auː θ ɛ h k
áþekkt	ˈ auː θ ɛ x t
áþreifanlega	ˈ auː θ r ei v a n l ˌ ɛ ɣ a
århus	ˈɔː r̥ h u s
æ	ˈ aiː
æfa	ˈ aiː v a
æfi	ˈ aiː v ɪ
æfing	ˈ aiː v i ŋ k
æfinga	ˈ aiː v i ŋ k a
æfingabúðir	ˈ aiː v i ŋ k a p ˌ u ð ɪ r
æfingabúðum	ˈ aiː v i ŋ k a p ˌ u ð ʏ m
æfingaferð	ˈ aiː v i ŋ k a f ˌ ɛ r ð
æfingagalla	ˈaiː v i ŋ k a k ˌa l a
æfingagallana	ˈaiː v i ŋ k a k ˌa l a n a
æfingagallann	ˈaiː v i ŋ k a k ˌa t l a n
æfingagallanna	ˈaiː v i ŋ k a k ˌa l a n a
æfingagallans	ˈaiː v i ŋ k a k ˌa l a n s
æfingagallanum	ˈ aiː v i ŋ k a k ˌ a l a n ʏ m
æfingagallar	ˈaiː v i ŋ k a k ˌa l a r
æfingagallarnir	ˈaiː v i ŋ k a k ˌa t l a r t n ɪ r
æfingagalli	ˈaiː v i ŋ k a k ˌa l ɪ
æfingagallinn	ˈaiː v i ŋ k a k ˌa l ɪ n
æfingagöllum	ˈaiː v i ŋ k a k ˌœ l ʏ m
æfingagöllunum	ˈaiː v i ŋ k a k ˌœ l ɔ n ʏ m
æfingaleik	ˈ aiː v i ŋ k a l ˌ ei k
æfingaleiki	ˈ aiː v i ŋ k a l ˌ ei c ɪ
æfingaleikjum	ˈ aiː v i ŋ k a l ˌ ei c ʏ m
æfingaprógramm	ˈaiː v i ŋ k a pʰ r ˌou k r a m
æfingar	ˈ aiː v i ŋ k a r
æfingarnar	ˈ aiː v i ŋ k a r t n a r
æfingasvæði	ˈ aiː v i ŋ k a s v ˌ ai ð ɪ
æfingin	ˈ aiː v i ɲ c ɪ n
æfingu	ˈ aiː v i ŋ k ʏ
æfingum	ˈ aiː v i ŋ k ʏ m
æfinguna	ˈ aiː v i ŋ k ʏ n a
æfingunni	ˈ aiː v i ŋ k ʏ n ɪ
æfingunum	ˈ aiː v i ŋ k ɔ n ʏ m
æfir	ˈ aiː v ɪ r
æft	ˈ ai f t
æfði	ˈ ai v ð ɪ
æfðu	ˈ ai v ð ʏ
ægi	ˈ ai j ɪ
ægilegur	ˈ ai j ɪ l ˌ ɛ ɣ ʏ r
ægir	ˈ ai j ɪ r
ægis	ˈ ai j ɪ s
ægisson	ˈ ai j ɪ s s ˌ ɔ n
æla	ˈ aiː l a
ær	ˈ aiː r
æra	ˈ aiː r a
ærin	ˈ aiː r ɪ n
ærið	ˈ aiː r ɪ ð
æru	ˈ aiː r ʏ
ærumeiðandi	ˈ aiː r ʏ m ˌ ei ð a n t ɪ
æsa	ˈ aiː s a
æsingnum	ˈ aiː s i ŋ n ʏ m
æsispennandi	ˈ aiː s ɪ s p ˌ ɛ n a n t ɪ
æska	ˈ ai s k a
æskileg	ˈ ai s c ɪ l ɛ ɣ
æskilegast	ˈ ai s c ɪ l ˌ ɛ ɣ a s t
æskilegra	ˈ ai s c ɪ l ɛ ɣ r a
æskilegt	ˈ ai s c ɪ l ɛ x t
æskilegur	ˈ ai s c ɪ l ˌ ɛ ɣ ʏ r
æsku	ˈ ai s k ʏ
æskuheimili	ˈ ai s k ʏ h ˌ ei m ɪ l ɪ
æskunnar	ˈ ai s k ʏ n a r
æstur	ˈ ai s t ʏ r
æti	ˈ aiː t ɪ
ætla	ˈ ai h t l a
ætlar	ˈ ai h t l a r
ætlarðu	ˈ ai h t l a r ð ʏ
ætlast	ˈ ai h t l a s t
ætlað	ˈ ai h t l a ð
ætlaða	ˈ ai h t l a ð a
ætlaðar	ˈ ai h t l a ð a r
ætlaði	ˈ ai h t l a ð ɪ
ætlaðir	ˈ ai h t l a ð ɪ r
ætlaður	ˈ ai h t l a ð ʏ r
ætli	ˈ ai h t l ɪ
ætlið	ˈ ai h t l ɪ ð
ætlum	ˈ ai h t l ʏ m
ætlun	ˈ ai h t l ʏ n
ætlunarverk	ˈ ai h t l ʏ n a r v ˌ ɛ r̥ k
ætlunin	ˈ ai h t l ʏ n ɪ n
ætluð	ˈ ai h t l ʏ ð
ætluðu	ˈ ai h t l ʏ ð ʏ
ætluðum	ˈ ai h t l ʏ ð ʏ m
ætt	ˈ ai h t
ættaður	ˈ ai h t a ð ʏ r
ættfræði	ˈ ai h t f r ai ð ɪ
ætti	ˈ ai h t ɪ
ættingi	ˈ ai h t i ɲ c ɪ
ættingja	ˈ ai h t i ɲ c a
ættingjar	ˈ ai h t i ɲ c a r
ættingjum	ˈ ai h t i ɲ c ʏ m
ættir	ˈ ai h t ɪ r
ættkvísl	ˈ ai h t kʰ v i s t l̥
ættleiða	ˈ ai h t l ei ð a
ættleiðingar	ˈ ai h t l ei ð i ŋ k a r
ættu	ˈ ai h t ʏ
ættum	ˈ ai h t ʏ m
ættuð	ˈ ai h t ʏ ð
ætíð	ˈ aiː tʰ i ð
ævar	ˈ aiː v a r
ævarandi	ˈ aiː v a r a n t ɪ
ævarsdóttir	ˈ aiː v a r̥ s t ˌ ou h t ɪ r
ævarsson	ˈ aiː v a r̥ s s ˌ ɔ n
ævi	ˈ aiː v ɪ
ævilangt	ˈ aiː v ɪ l ˌ au ŋ̊ t
æviloka	ˈ aiː v ɪ l ˌ ɔ k a
ævina	ˈ aiː v ɪ n a
ævinlega	ˈ aiː v ɪ n l ˌ ɛ ɣ a
ævinnar	ˈ ai v ɪ n a r
ævinni	ˈ aiː v ɪ n ɪ
ævintýralega	ˈ aiː v ɪ n tʰ i r a l ˌ ɛ ɣ a
ævintýri	ˈ ai v ɪ n tʰ i r ɪ
ævintýrið	ˈ aiː v ɪ n tʰ i r ɪ ð
ævintýrum	ˈ aiː v ɪ n tʰ i r ʏ m
ævisaga	ˈ aiː v ɪ s ˌ a ɣ a
ævistarf	ˈ aiː v ɪ s t ˌ a r v
ævistarfi	ˈ aiː v ɪ s t ˌ a r v ɪ
ævisögu	ˈ aiː v ɪ s ˌ œ ɣ ʏ
æviágrip	ˈ aiː v ɪ ˌ au k r ɪ p
æviárin	ˈ aiː v ɪ ˌ au r ɪ n
æxli	ˈ ai k s t l ɪ
æð	ˈ aiː ð
æðasjúkdóma	ˈ aiː ð a s j ˌ u k t ou m a
æðasjúkdómum	ˈ aiː ð a s j ˌ u k t ou m ʏ m
æði	ˈ aiː ð ɪ
æðisleg	ˈ aiː ð ɪ s t l ɛ ɣ
æðislegt	ˈ aiː ð ɪ s t l ɛ x t
æðra	ˈ ai ð r a
æðri	ˈ ai ð r ɪ
æðruleysi	ˈ ai ð r ʏ l ˌ ei s ɪ
æðsta	ˈ ai ð s t a
æðsti	ˈ ai ð s t ɪ
æðstu	ˈ ai ð s t ʏ
æðum	ˈ aiː ð ʏ m
é	j ˈ ɛː
ég	j ˈ ɛː ɣ
éljagangur	j ˈ ɛ l j a k ˌ au ŋ k ʏ r
éljum	j ˈ ɛ l j ʏ m
éta	j ˈ ɛː t a
étið	j ˈ ɛː t ɪ ð
étur	ˈ ɛː t ʏ r
í	iː
íav	ˈiː j a v
íbenholt	ˈiː p ɛ n h ɔ l̥ t
íbv	ˈ iː p j ɛ v a f
íbyggin	ˈ iː p ɪ c ɪ n
íbúa	ˈ iː p u a
íbúafjölda	ˈ iː p u a f j ˌ œ l t a
íbúafjöldi	ˈ iː p u a f j ˌ œ l t ɪ
íbúana	ˈ iː p u a n a
íbúanna	ˈ iː p u a n a
íbúar	ˈ iː p u a r
íbúarnir	ˈ iː p u a r t n ɪ r
íbúi	ˈ iː p u ɪ
íbúum	ˈ iː p u ʏ m
íbúunum	ˈ iː p u ɔ n ʏ m
íbúð	ˈ iː p u ð
íbúða	ˈ iː p u ð a
íbúðabyggð	ˈ iː p u ð a p ˌ ɪ ɣ ð
íbúðalán	ˈ iː p u ð a l ˌ au n
íbúðalána	ˈ iː p u ð a l ˌ au n a
íbúðalánasjóð	ˈ iː p u ð a l ˌ au n a s j ou ð
íbúðalánasjóði	ˈ iː p u ð a l ˌ au n a s j ou ð ɪ
íbúðalánasjóðs	ˈ iː p u ð a l ˌ au n a s j ou ð s
íbúðalánasjóður	ˈ iː p u ð a l ˌ au n a s j ou ð ʏ r
íbúðalánum	ˈ iː p u ð a l ˌ au n ʏ m
íbúðanna	ˈ iː p u ð a n a
íbúðar	ˈ iː p u ð a r
