aaron	a: r O n
samnorrænt	s a m n O r ai n_0 t
samráðs	s a m r au D s
samræmi	s a m r ai m I
samræmt	s a m r ai m_0 t
samræður	s a m r ai D Y r
samrýmist	s a m r i m I s t
samsetningu	s a m s E h t n I N k Y
samskipta	s a m s c I f t a
samskiptaforrita	s a m s c I f t a f O r I t a
samskiptaregluna	s a m s c I f t a r E k l Y n a
samskiptatækni	s a m s c I f t a t_h ai h k n I
samskiptaverkefni	s a m s c I f t a v E r_0 c E p n I
samskiptaverkefnið	s a m s c I f t a v E r_0 c E p n I D
samskipti	s a m s c I f t I
samskiptum	s a m s c I f t Y m
samskonar	s a m s k O n a r
samspil	s a m s p I l
samstarf	s a m s t a r f
samstarfi	s a m s t a r v I
samstarfinu	s a m s t a r v I n Y
samstarfs	s a m s t a r f s
samstarfsaðila	s a m s t a r f s a D I l a
samstarfsaðili	s a m s t a r f s a D I l I
samstarfsaðilum	s a m s t a r f s a D I l Y m
samstarfsfyrirtæki	s a m s t a r f s f I r I r_0 t_h ai c I
samstarfsfólk	s a m s t a r f s f ou l_0 k
samstarfshefð	s a m s t a r f s h E v D
samstarfshópur	s a m s t a r f s h ou p Y r
samstarfsins	s a m s t a r f s I n s
samstarfskennara	s a m s t a r f s c_h E n a r a
samstarfskona	s a m s t a r f s k_h O n a
samstarfslæknar	s a m s t a r f s l ai h k n a r
samstarfsmann	s a m s t a r f s m a n
samstarfsmanni	s a m s t a r f s m a n I
samstarfsmaður	s a m s t a r f s m a D Y r
samstarfsmenn	s a m s t a r f s m E n
samstarfsmennirnir	s a m s t a r f s m E n I r t n I r
samstarfsmönnum	s a m s t a r f s m 9 n Y m
samstarfsnefnd	s a m s t a r f s t n E m t
samstarfsnefndar	s a m s t a r f s t n E m t a r
samstarfsnefndarinnar	s a m s t a r f s t n E m t a r I n a r
samstarfsneti	s a m s t a r f s t n E t I
samstarfssamning	s a m s t a r f s a m n i N k
samstarfssamningi	s a m s t a r f s a m n i J c I
samstarfssamninginn	s a m s t a r f s a m n i J c I n
samstarfssamningur	s a m s t a r f s a m n i N k Y r
samstarfsverkefna	s a m s t a r f s v E r_0 c E p n a
samstarfsverkefni	s a m s t a r f s v E r_0 k E p n I
samstarfsverkefnum	s a m s t a r f s v E r_0 c E p n Y m
samstarfsvettvangur	s a m s t a r f s v E h t v au N k Y r
samstarfsyfirlýsingar	s a m s t a r f s I v I r l i s i N k a r
samstillt	s a m s t I l_0 t
samstilltu	s a m s t I l_0 t Y
samstæðunnar	s a m s t ai D Y n a r
samsvarandi	s a m s v a r a n t I
samsvarar	s a m s v a r a r
samt	s a m_0 t
samtaka	s a m t_h a k a
samtakanna	s a m t_h a k a n a
samtali	s a m t_h a l I
samtalinu	s a m t_h a l I n Y
samtalið	s a: m t_h a l I D
samtals	s a m t_h a l s
samtalsins	s a m t_h a l s I n s
samtengd	s a m t_h ei N t
samtengdum	s a m t_h ei N t Y m
samtenginga	s a m t_h ei J c i N k a
samtryggingardeildar	s a m t_h r I c i N k a r t ei l t a r
samtímalist	s a m t_h i m a l I s t
samtímans	s a m t_h i m a n s
samtímanum	s a m t_h i m a n Y m
samtíð	s a m t_h i D
samtök	s a m t_h 9 k
samtökin	s a m t_h 9 c I n
samtökum	s a m t_h 9 k Y m
samtökunum	s a m t_h 9 k O n Y m
samtöl	s a m t_h 9 l
samtölum	s a: m t_h 9 l Y m
samuel	s a m j u E l
samur	s a: m Y r
samvinna	s a m v I n a
samvinnu	s a m v I n Y
samvinnunefnd	s a m v I n Y n E m t
samvinnunefndar	s a m v I n Y n E m t a r
samúel	s a: m u E l
samþjöppun	s a m T j 9 h p Y n
samþykki	s a m T I h c I
samþykkir	s a m T I h c I r
samþykkis	s a m T I h c I s
samþykkja	s a m T I h c a
samþykkt	s a m T I x t
samþykkta	s a m T I x t a
samþykktar	s a m T I x t a r
samþykkti	s a m T I x t I
samþykktinni	s a m T I x t I n I
samþykktir	s a m T I x t I r
samþykktu	s a m T I x t Y
samþykktum	s a m T I x t Y m
samþykktur	s a m T I x t Y r
sandgerði	s a n t c E r D I
sandglompuhögg	s a n t k l O m_0 p Y h 9 k
sandinn	s a n t I n
sandsteinn	s a n t s t ei t n_0
sandur	s a n t Y r
sandvatns	s a n t v a s
sandvatnshlíð	s a n t v a s l_0 i D
sankti	s a n_0 t I
sannanlega	s a n a n l E G a
sannarlega	s a n a r l E G a
sannfæra	s a n f ai r a
sannfærandi	s a n f ai r a n t I
sannfæringu	s a n f ai r i N k Y
sanngirni	s a J c I r t n I
sanni	s a n I
sannindi	s a n I n t I
sannlega	s a n l E G a
sannleikur	s a n l ei k Y r
sannur	s a n Y r
santa	s a n_0 t a
sara	s a: r a
sardinía	s a r t I n i j a
sat	s a: t
satt	s a h t
sauma	s 9i: m a
saumavél	s 9i: m a v j E l
sautján	s 9i: t j au n
sautjánda	s 9i: t j au n t a
sautjándi	s 9i: t j au n t I
sautjándu	s 9i: t j au n t Y
sauðfjárbænda	s 9i D f j au r_0 p ai n t a
sauðfjárrækt	s 9i D f j au r ai x t
sauðfjárslátrun	s 9i D f j au r_0 s t l au t r Y n
sauðkindar	s 9i D c_h I n t a r
sauðkindin	s 9i D c_h I n t I n
scheving	s c E: v i N k
seafood	s i: f u t
sean	s j O: n
seattle	s i: a h t u l
sebastian	s E p a s t I a n
sef	s E: f
sefur	s E: v Y r
segi	s ei j I
segir	s ei j I r
segist	s ei j I s t
segja	s ei j a
segjast	s ei j a s t
segjum	s ei j Y m
segð	s E G D
segði	s E G D I
segðu	s ei G D Y
seinasta	s ei: n a s t a
seinka	s ei N_0 k a
seinkað	s ei N_0 k a D
seinkaði	s ei N_0 k a D I
seinn	s ei t n_0
seinna	s ei t n a
seinnameir	s ei t n a m ei r
seinni	s ei t n I
seinnipartinn	s ei t n I p_h a r_0 t I n
seinniparturinn	s ei t n I p_h a r_0 t Y r I n
seint	s ei n_0 t
seiða	s ei: D a
seiði	s ei: D I
sek	s E: k u n t Y r
sekir	s E: c I r
sekkur	s E h k Y r
sekt	s E x t
sektir	s E x t I r
sektum	s E x t Y m
sekur	s E: k Y r
seldar	s E l t a r
seldir	s E l t I r
seldust	s E l t Y s t
selfoss	s E l f O s
selfossi	s E l f O s I
selja	s E l j a
seljanda	s E l j a n t a
seljandi	s E l j a n t I
seljast	s E l j a s t
sellerí	s E l E r i
selma	s E l m a
selt	s E l_0 t
seltjarnarnesi	s E l t_h j a r t n a r n E s I
selur	s E: l Y r
sem	s E: m
semball	s E m p a t l_0
semingi	s E: m i J c I
semja	s E m j a
semsagt	s E m s a x t
semur	s E: m Y r
senda	s E n t a
sendar	s E n t a r
sendi	s E n t I
sendifulltrúa	s E n t I f Y t l_0 t_h r u a
sendiherra	s E n t I h E r a
sendiherranum	s E n t I h E r a n Y m
sendinefnd	s E n t I n E m t
sendinefndin	s E n t I n E m t I n
sendinn	s E n t I n
senn	s E n
senna	s E n a
sennilega	s E n I l E G a
sent	s E n_0 t
sentimetra	s E n_0 t I m E t r a
september	s E f t E m p E r
septemberbyrjun	s E f t E m p E r_0 p I r j Y n
septemberloka	s E f t E m p E r l O k a
serbi	s E r p I
sergio	s E r t j i ou
serótónín	s E: r ou t_h ou n i n
sess	s E s
sest	s E s t
set	s E: t
setbergshnaus	s E: t p E r k s n_0 9i s
setið	s E: t I D
setja	s E: t j a
setjarar	s E: t j a r a r
setjast	s E: t j a s t
setjið	s E: t j I D
setjum	s E: t j Y m
setjumst	s E: t j Y m s t
setning	s E h t n i N k
setningar	s E h t n I N k a r
sett	s E h t
settar	s E h t a r
setti	s E h t I
settist	s E h t I s t
settum	s E h t Y m
settur	s E h t Y r
setu	s E: t Y
setur	s E: t Y r
sex	s E k s
sextíu	s E k s t_h i j Y
seytla	s ei h t l a
seytlar	s ei h t l a r
seyði	s ei: D I
seðill	s E: D I t l_0
seðlabanka	s E D l a p au N_0 k a
seðlabankann	s E D l a p au N_0 k a n
seðlabankans	s E D l a p au N_0 k a n s
seðlabankanum	s E D l a p au N_0 k a n Y m
seðlabankastjóra	s E D l a p au N_0 k a s t j ou r a
seðlabanki	s E D l a p au J_0 c I
seðlaprentsmiðju	s E D l a p_h r E n_0 t s m I D j Y
sibba	s I p a
sibbi	s I p I
sibbu	s I p Y
sif	s I: f
sifjalaganefndar	s I v j a l a G a n E m t a r
sig	s I: G
sigbjörnsdóttur	s I G p j 9 r_0 s t ou h t Y r
sigbjörnsson	s I G p j 9 r_0 s O n
sigfús	s I x f u s
sigga	s I k a
siggeirsson	s I G c ei r_0 s O n
siggi	s I c I
sigla	s I k l a
sigldi	s I l t I
sigldu	s I l t Y
siglingu	s I k l i N k Y
siglir	s I k l I r
siglt	s I l_0 t
sigmar	s I G m a r
sigmund	s I G m Y n t
sigmundar	s I G m Y n t a r
sigmundsson	s I G m Y n t s O n
sigmundur	s I G m Y n t Y r
sigra	s I G r a
sigrar	s I G r a r
sigrað	s I G r a D
sigraði	s I G r a D I
sigri	s I G r I
sigruðu	s I G r Y D Y
sigríðar	s I G r i D a r
sigríður	s I G r i D Y r
sigrún	s I G r u n
sigrúnar	s I G r u n a r
sigrúnu	s I G r u n Y
sigtryggsson	s I G t_h r I k s O n
sigtryggssonar	s I G t_h r I k s O n a r
sigtryggur	s I G t_h r I k Y r
sigur	s I: G Y r
sigurbergsdóttir	s I: G Y r p E r k s t ou h t I r
sigurbjörg	s I: G Y r_0 p j 9 r k
sigurbjörn	s I: G Y r_0 p j 9 r t n_0
sigurbjörns	s I: G Y r p j 9 r_0 s
sigurbjörnsson	s I: G Y r p j 9 r_0 s O n
sigurbjörnssyni	s I: G Y r p j 9 r_0 s I n I
sigurdís	s I: G Y r t i s
sigurgeir	s I: G Y r c ei r
sigurgestsson	s I: G Y r c E s t s O n
sigurinn	s I: G Y r I n
sigurjóns	s I: G Y r j ou n s
sigurjónsdóttir	s I: G Y r j ou n s t ou h t I r
sigurlaug	s I: G Y r l 9i G
sigurmarkið	s I: G Y r m a r_0 c I D
sigurpáll	s I: G Y r_0 p_h au t l_0
sigurpálsson	s I: G Y r_0 p_h au l s O n
sigursteinn	s I: G Y r_0 s t ei t n_0
sigurvegarar	s I: G Y r v E G a r a r
sigurvegari	s I: G Y r v E G a r I
sigurðardóttir	s I: G Y r D a r_0 t ou h t I r
sigurði	s I: G Y r D I
sigurðsson	s I: G Y r D s O n
sigurðssonar	s I: G Y r D s O n a r
sigurðssyni	s I: G Y r D s I n I
sigurður	s I: G Y r D Y r
sigþrúður	s I x T r u D Y r
sigþórsson	s I x T ou r_0 s O n
sikiley	s I: c I l ei
silfri	s I l v r I
silfruðum	s I l v r Y D Y m
silfur	s I l v Y r
silfurdoppótt	s I l f Y r t O h p ou h t
silfurskeiðina	s I l f Y r_0 s c ei D I n a
silfurverðlaun	s I l v Y r v E r D l 9i n
silja	s I l j a
silki	s I l_0 c I
silkimálun	s I l_0 c I m au l Y n
silung	s I: l u N k
silungana	s I: l u N k a n a
silungar	s I: l u N k a r
silungi	s I: l u J c I
silunginn	s I: l u J c I n
silungsveiðivon	s I: l u N s v ei D I v O n
silungur	s I: l u N k Y r
silva	s I l v a
silúngsveiðivon	s I: l u N s v ei D I v O n
simon	s ai m O n
sin	s I: n
sindra	s I n t r a
sinfóníuhljómsveit	s I n f ou n i j Y l_0 j ou m s v ei t
sinn	s I n
sinna	s I n a
sinnar	s I n a r
sinnaskipti	s I n a s c I f t I
sinni	s I n I
sinnir	s I n I r
sinnt	s I n_0 t
sinnum	s I n Y m
sippa	s I h p a
sir	s 9: r
sirkus	s I r_0 k Y s
sirrý	s I r i
sitja	s I: t j a
sitjandi	s I: t j a n t I
sitji	s I: t j I
sitjið	s I: t j I D
sitjum	s I: t j Y m
sitkagreni	s I t k a k r E n I
sitt	s I h t
situr	s I: t Y r
siv	s I: v
siðanefndar	s I: D a n E m t a r
siðspillta	s I D s p I l_0 t a
siðspilltum	s I D s p I l_0 t Y m
siður	s I: D Y r
sjaldan	s j a l t a n
sjaldgæfur	s j a l t c ai v Y r
sjaldnast	s j a l t n a s t
sjampó	s j a m_0 p ou
sjampói	s j a m_0 p ou I
sje	s j E:
sjoppu	s j O h p Y
sjoppuna	s j O h p Y n a
sjoppunni	s j O h p Y n I
sjá	s j au:
sjáist	s j au: I s t
sjáland	s j au: l a n t
sjálf	s j au l v
sjálfan	s j au l v a n
sjálfar	s j au l v a r
sjálfboðaliðar	s j au l v p O D a l I D a r
sjálfbæra	s j au l f p ai r a
sjálfgefið	s j au l f c E v I D
sjálfir	s j au l v I r
sjálfnefndri	s j au l n E m t r I
sjálfra	s j au l v r a
sjálfrar	s j au l v r a r
sjálfri	s j au l v r I
sjálfrátt	s j au l v r au h t
sjálfráða	s j au l v r au D a
sjálfráður	s j au l v r au D Y r
sjálfræði	s j au l v r ai D I
sjálfs	s j au l f s
sjálfsafgreiðslustöðvum	s j au l f s a v k r ei D s t l Y s t 9 D v Y m
sjálfsafneitun	s j au l f s a v n ei t Y n
sjálfsagt	s j au l f s a x t
sjálfsagða	s j au l f s a G D a
sjálfsagðara	s j au l f s a G D a r a
sjálfsalakaffi	s j au l f s a l a k_h a f I
sjálfsbjargarhúsinu	s j au l f s p j a r k a r_0 h u s I n Y
sjálfsbjargarviðleitnin	s j au l f s p j a r k a r v I D l ei h t n I n
sjálfsbjörg	s j au l f s p j 9 r k
sjálfsdáðum	s j au l f s t au D Y m
sjálfseignarstofnun	s j au l f s ei k n a r_0 s t O p n Y n
sjálfsfróun	s j au l f s f r ou Y n
sjálfsgagnrýni	s j au l f s k a k n_0 r i n I
sjálfshjálp	s j au l f s C au l_0 p
sjálfshjálparhópur	s j au l f s C au l_0 p a r h ou p Y r
sjálfshjálpin	s j au l f s C au l_0 p I n
sjálfskaparvíti	s j au l f s k a p a r v i t I
sjálfskipaðra	s j au l f s c I p a D r a
sjálfskipt	s j au l f s c I f t
sjálfskiptan	s j au l f s c I f t a n
sjálfskiptingin	s j au l f s c I f t i J c I n
sjálfskiptingu	s j au l f s c I f t i N k Y
sjálfskiptur	s j au l f s c I f t Y r
sjálfskipuð	s j au l f s c I p Y D
sjálfskuldarábyrgð	s j au l f s k Y l t a r au p I r D
sjálfsmark	s j au l f s m a r_0 k
sjálfsmat	s j au l f s m a t
sjálfsmorð	s j au l f s m O r D
sjálfsmorðsárásir	s j au l f s m O r D s au r au s I r
sjálfsmynd	s j au l f s m I n t
sjálfsmyndinni	s j au l f s m I n t I n I
sjálfsstjórn	s j au l f s t j ou r t n_0
sjálfsstjórnar	s j au l f s t j ou r t n a r
sjálfsstolt	s j au l f s t O l_0 t
sjálfstjórn	s j au l f s t j ou r t n_0
sjálfstraust	s j au l f s t_h r 9i s t
sjálfstraustið	s j au l f s t_h r 9i s t I D
sjálfstrausts	s j au l f s t_h r 9i s t s
sjálfstæð	s j au l f s t ai D
sjálfstæða	s j au l f s t ai D a
sjálfstæðan	s j au l f s t ai D a n
sjálfstæðar	s j au l f s t ai D a r
sjálfstæði	s j au l f s t ai D I
sjálfstæðir	s j au l f s t ai D I r
sjálfstæðis	s j au l f s t ai D I s
sjálfstæðisbaráttunnar	s j au l f s t ai D I s p a r au h t Y n a r
sjálfstæðisflokki	s j au l f s t ai D I s f l O h c I
sjálfstæðisflokkinn	s j au l f s t ai D I s f l O h c I n
sjálfstæðisflokknum	s j au l f s t ai D I s f l O h k n Y m
sjálfstæðisflokks	s j au l f s t ai D I s f l O h k s
sjálfstæðisflokksins	s j au l f s t ai D I s f l O h k s I n s
sjálfstæðisflokkurinn	s j au l f s t ai D I s f l O h k Y r I n
sjálfstæðisfélaganna	s j au l f s t ai D I s f j E l a G a n a
sjálfstæðismaður	s j au l f s t ai D I s m a D Y r
sjálfstæðismönnum	s j au l f s t ai D I s m 9 n Y m
sjálfstæðra	s j au l f s t ai D r a
sjálfstæðrar	s j au l f s t ai D r a r
sjálfstæðri	s j au l f s t ai D r I
sjálfstæðs	s j au l f s t ai D s
sjálfstæðu	s j au l f s t ai D Y
sjálfstæðum	s j au l f s t ai D Y m
sjálfstæður	s j au l f s t ai D Y r
sjálfsvald	s j au l f s v a l t
sjálfsvirðingu	s j au l f s v I r D i N k Y
sjálfsvitund	s j au l f s v I t Y n t
sjálfsvorkunn	s j au l f s v O r_0 k Y n
sjálfsvíg	s j au l f s v i G
sjálfsímynd	s j au l f s i m I n t
sjálfsögð	s j au l f s 9 G D
sjálfsögðu	s j au l f s 9 G D Y
sjálfsöryggi	s j au l f s 9 r I c I
sjálft	s j au l_0 t
sjálftrekkjandi	s j au l f t_h r E h c a n t I
sjálfu	s j au l v Y
sjálfum	s j au l v Y m
sjálfur	s j au l v Y r
sjást	s j au s t
sjáum	s j au: Y m
sjáumst	s j au: Y m s t
sjávar	s j au: v a r
sjávarafurða	s j au: v a r a v Y r D a
sjávarfangs	s j au: v a r_0 f au N s
sjávarplássa	s j au: v a r_0 p_h l au s a
sjávarútveg	s j au: v a r u t v E G
sjávarútvegi	s j au: v a r u t v ei j I
sjávarútveginn	s j au: v a r u t v ei j I n
sjávarútveginum	s j au: v a r u t v ei j I n Y m
sjávarútvegs	s j au: v a r u t v E x s
sjávarútvegsfyrirtæki	s j au: v a r u t v E x s f I r I r_0 t_h ai c I
sjávarútvegsfyrirtækja	s j au: v a r u t v E k s f I r I r_0 t_h ai c a
sjávarútvegsins	s j au: v a r u t v E x s I n s
sjávarútvegsnefndar	s j au: v a r u t v E x s n E m t a r
sjávarútvegsráðherra	s j au: v a r u t v E x s r au T h E r a
sjávarútvegur	s j au: v a r u t v E G Y r
sjávarútvegurinn	s j au: v a r u t v E G Y r I n
sjávarþorpi	s j au: v a r_0 T O r_0 p I
sjó	s j ou:
sjóher	s j ou: h E r
sjóinn	s j ou: I n
sjókvíaeldi	s j ou: k_h v i j a E l t I
sjókvíum	s j ou: k_h v i j Y m
sjómaður	s j ou: m a D Y r
sjómílur	s j ou: m i l Y r
sjón	s j ou: n
sjónarhorni	s j ou: n a r_0 h O r t n I
sjónarmið	s j ou: n a r m I D
sjónarmiða	s j ou: n a r m I D a
sjónarrönd	s j ou: n a r 9 n t
sjónarsviptir	s j ou: n a r_0 s v I f t I r
sjóndeildarhringnum	s j ou n t ei l t a r_0 i N n Y m
sjónlagi	s j ou n l ai j I
sjónvarp	s j ou n v a r_0 p
sjónvarpað	s j ou n v a r_0 p a D
sjónvarpi	s j ou n v a r_0 p I
sjónvarpinu	s j ou n v a r_0 p I n Y
sjónvarpið	s j ou n v a r_0 p I D
sjónvarps	s j ou n v a r_0 p s
sjónvarpsauglýsinga	s j ou n v a r_0 p s 9i G l i s i N k a
sjónvarpsauglýsingar	s j ou n v a r_0 p s 9i G l i s i N k a r
sjónvarpsefni	s j ou n v a r_0 p s E p n I
sjónvarpsefnis	s j ou n v a r_0 p s E p n I s
sjónvarpsfréttir	s j ou n v a r_0 p s f r j E h t I r
sjónvarpshol	s j ou n v a r_0 p s h O l
sjónvarpsins	s j ou n v a r_0 p s I n s
sjónvarpskokkurinn	s j ou n v a r_0 p s k_h O h k Y r I n
sjónvarpskort	s j ou n v a r_0 p s k_h O r_0 t
sjónvarpskvöld	s j ou n v a r_0 p s k_h v 9 l t
sjónvarpsleikrit	s j ou n v a r_0 p s t l ei k r I t
sjónvarpsmynd	s j ou n v a r_0 p s m I n t
sjónvarpsmálið	s j ou n v a r_0 p s m au l I D
sjónvarpssendingar	s j ou n v a r_0 p s E n t i N k a r
sjónvarpssjúklingur	s j ou n v a r_0 p s j u h k l i N k Y r
sjónvarpsskjáinn	s j ou n v a r_0 p s c au I n
sjónvarpsskjáir	s j ou n v a r_0 p s c au I r
sjónvarpsstöð	s j ou n v a r_0 p s t 9 D
sjónvarpsstöðin	s j ou n v a r_0 p s t 9 D I n
sjónvarpsstöðina	s j ou n v a r_0 p s t 9 D I n a
sjónvarpsstöðva	s j ou n v a r_0 p s t 9 D v a
sjónvarpsstöðvanna	s j ou n v a r_0 p s t 9 D v a n a
sjónvarpsstöðvar	s j ou n v a r_0 p s t 9 D v a r
sjónvarpsstöðvarinnar	s j ou n v a r_0 p s t 9 D v a r I n a r
sjónvarpsstöðvarnar	s j ou n v a r_0 p s t 9 D v a r t n a r
sjónvarpstæki	s j ou n v a r_0 p s t_h ai c I
sjónvarpstækinu	s j ou n v a r_0 p s t_h ai c I n Y
sjónvarpstækið	s j ou n v a r_0 p s t_h ai c I D
sjónvarpstöðina	s j ou n v a r_0 p s t 9 D I n a
sjónvarpsviðtali	s j ou n v a r_0 p s v I D t_h a l I
sjónvarpsþátta	s j ou n v a r_0 p s T au h t a
sjónvarpsþáttum	s j ou n v a r_0 p s T au h t Y m
sjónvarpsþáttunum	s j ou n v a r_0 p s T au h t Y n Y m
sjónvarpsþætti	s j ou n v a r_0 p s T ai h t I
sjór	s j ou: r
sjóveiki	s j ou: v ei c I
sjóð	s j ou: D
sjóða	s j ou: D a
sjóðanna	s j ou: D a n a
sjóðsins	s j ou D s I n s
sjóðum	s j ou: D Y m
sjóður	s j ou: D Y r
sjö	s j 9:
sjöfn	s j 9 p n_0
sjötti	s j 9 h t I
sjötíu	s j 9: t_h i j Y
sjöundi	s j 9: Y n t I
sjúga	s j u: G a
sjúkdóminn	s j u: k t ou m I n
sjúkdómseinkenni	s j u k t ou m s ei J_0 c_h E n I
sjúkdómum	s j u: k t ou m Y m
sjúkdómur	s j u k t ou m Y r
sjúkdómurinn	s j u: k t ou m Y r I n
sjúklingar	s j u h k l i N k a r
sjúklingatryggingin	s j u h k l i N k a t_h r I c i J c I n
sjúklings	s j u h k l i N s
sjúklingsins	s j u h k l i N s I n s
sjúklingur	s j u h k l i N k Y r
sjúkraberar	s j u: k r a p E r a r
sjúkrabíl	s j u: k r a p i l
sjúkrabíllinn	s j u: k r a p i t l I n
sjúkrabörur	s j u: k r a p 9 r Y r
sjúkraflugi	s j u: k r a f l Yi j I
sjúkrahús	s j u: k r a h u s
sjúkrahúsa	s j u: k r a h u s a
sjúkrahúsi	s j u: k r a h u s I
sjúkrahúsin	s j u: k r a h u s I n
sjúkrahúsinu	s j u: k r a h u s I n Y
sjúkrahúsið	s j u: k r a h u s I D
sjúkrahússins	s j u: k r a h u s I n s
sjúkraliðum	s j u: k r a l I D Y m
sjúkraskrám	s j u: k r a s k r au m
sjúkrastofnana	s j u: k r a s t O p n a n a
sjúkrastofnunum	s j u: k r a s t O p n Y n Y m
sjúkratrygginga	s j u: k r a t_h r I c i N k a
sjúkratryggingar	s j u: k r a t_h r I c i N k a r
sjúkur	s j u: k Y r
skafa	s k a: v a
skaffa	s k a f a
skafrenningur	s k a v r E n i N k Y r
skaftafellssýslu	s k a f t a f E l s i s t l Y
skaftafellssýslum	s k a f t a f E l s i s t l Y m
skagafirði	s k a: G a f I r D I
skagaströnd	s k a: G a s t r 9 n t
skak	s k a: k
skakkaföllum	s k a h k a f 9 t l Y m
skakkir	s k a h c I r
skal	s k a: l
skalla	s k a t l a
skallagrímur	s k a t l a k r i m Y r
skallaði	s k a t l a D I
skamma	s k a m a
skamman	s k a m a n
skammar	s k a m a r
skammarlegt	s k a m a r l E x t
skammast	s k a m a s t
skammastu	s k a m a s t Y
skammaði	s k a m a D I
skammaðist	s k a m a D I s t
skammaður	s k a m a D Y r
skammbyssu	s k a m p I s Y
skammbyssum	s k a m p I s Y m
skammbyssuna	s k a m p I s Y n a
skammbyssunni	s k a m p I s Y n I
skammdegisþunglyndi	s k a m t ei j I s T u N k l I n t I
skammdegið	s k a m t ei j I D
skamms	s k a m s
skammstöfun	s k a m s t 9 v Y n
skammstöfunin	s k a m s t 9 v Y n I n
skammsýni	s k a m s i n I
skammt	s k a m_0 t
skammta	s k a m_0 t a
skammtar	s k a m_0 t a r
skammtað	s k a m_0 t a D
skammtaði	s k a m_0 t a D I
skammti	s k a m_0 t I
skammtinn	s k a m_0 t I n
skammtur	s k a m_0 t Y r
skammur	s k a m Y r
skammvinn	s k a m v I n
skammvinnt	s k a m v I n_0 t
skandinavíu	s k a n t I n a v i j Y
skapa	s k a: p a
skapar	s k a: p a r
skapari	s k a: p a r I
skapaði	s k a: p a D I
skapi	s k a: p I
skapist	s k a: p I s t
skaplyndi	s k a p l I n t I
skapraunar	s k a: p r 9i n a r
skaptason	s k a f t a s O n
skara	s k a: r a
skarfur	s k a r v Y r
skari	s k a: r I
skarkoli	s k a: r k_h O l I
skarpa	s k a r_0 p a
skarpari	s k a r_0 p a r I
skarphéðin	s k a r_0 p C E D I n
skarphéðinn	s k a r_0 p C E D I n
skarphéðinsdóttir	s k a r_0 p C E D I n s t ou h t I r
skarphéðinsdóttur	s k a r_0 p C E D I n s t ou h t Y r
skarphéðinsson	s k a r_0 p C E D I n s O n
skarphéðinssonar	s k a r_0 p C E D I n s O n a r
skarphéðni	s k a r_0 p C E D n I
skarplega	s k a r_0 p l E G a
skarpskyggni	s k a r_0 p s c I k n I
skarpur	s k a r_0 p Y r
skart	s k a r_0 t
skarð	s k a r D
skata	s k a: t a
skatta	s k a h t a
skattbyrði	s k a h t p I r D I
skattgreiðendur	s k a h t k r ei D E n t Y r
skatti	s k a h t I
skattleggja	s k a h t l E c a
skattleysismörk	s k a h t l ei s I s m 9 r_0 k
skattpyngjur	s k a h t p_h i J c Y r
skattrannsóknarstjóra	s k a h t r a n s ou h k n a r_0 s t j ou r a
skattur	s k a h t Y r
skatturinn	s k a h t Y r I n
skaut	s k 9i: t
skauta	s k 9i: t a
skauti	s k 9i: t I
skaða	s k a: D a
skaðabóta	s k a: D a p ou t a
skaðabótaábyrgð	s k a: D a p ou t a au p I r D
skaði	s k a: D I
skaðlegur	s k a D l E G Y r
ske	s c E:
skefjum	s c E v j Y m
skegg	s c E k
skeggið	s c E c I D
skeggja	s c E c a
skeggjaða	s c E c a D a
skeggræddu	s c E k r ai t Y
skeina	s c ei: n a
skeið	s c ei: D
skekkja	s c E h c a
skel	s c E: l
skelfd	s c E l t
skelfdum	s c E l t Y m
skelfdur	s c E l t Y r
skelfilegt	s c E l v I l E x t
skeljungi	s c E l j u J c I
skeljungs	s c E l j u N s
skeljungur	s c E l j u N k Y r
skella	s c E t l a
skellti	s c E l_0 t I
skelltu	s c E l_0 t Y
skema	s c E: m a
skemma	s c E m a
skemmd	s c E m t
skemmda	s c E m t a
skemmdir	s c E m t I r
skemmdirnar	s c E m t I r t n a r
skemmdum	s c E m t Y m
skemmdust	s c E m t Y s t
skemmstu	s c E m s t Y
skemmt	s c E m_0 t
skemmta	s c E m_0 t a
skemmtan	s c E m_0 t a n
skemmtidagskrá	s c E m_0 t I t a x s k r au
skemmtiefni	s c E m_0 t I E p n I
skemmtigarðinum	s c E m_0 t I k a r D I n Y m
skemmtigönguleið	s c E m_0 t I k 9i N k Y l ei D
skemmtikvöldum	s c E m_0 t I k_h v 9 l t Y m
skemmtilegan	s c E m_0 t I l E G a n
skemmtilegasta	s c E m_0 t I l E G a s t a
skemmtilegri	s c E m_0 t I l E G r I
skemmtilegt	s c E m t I l E x t
skemmtilegu	s c E m_0 t I l E G Y
skemmtilegum	s c E m_0 t I l E G Y m
skemmtilegur	s c E m_0 t I l E G Y r
skemmtisögur	s c E m_0 t I s 9 G Y r
skemmtun	s c E m_0 t Y n
skenkja	s c ei J_0 c a
skepna	s c E h p n a
skepnu	s c E h p n Y
skepnum	s c E h p n Y m
skepnuna	s c E h p n Y n a
skepnunni	s c E h p n Y n I
skepnur	s c E h p n Y r
sker	s c E: r
skera	s c E: r a
skeri	s c E: r I
skerjafjarðarflugslysið	s c E r j a f j a r D a r f l Y x s t l I s I D
skermur	s c E r m Y r
skerpa	s c E r_0 p a
skerpir	s c E r_0 p I r
skerpu	s c E r_0 p Y
skerpudýpt	s c E r_0 p Y t i f t
